INDEX,YEAR,MN,DT,MAX,MIN,AW,RF,EVP,DRNRF(hrs),DRNRF(mnts),SSH,TS,N,FFF,D,TOCSQ,DU,RA,DZ,SN,SL,HA,TH,DS,FG,GA,T,G,DUR,T,G,DUR,T,G,DUR,T,G,DUR,
43003,1969,01,01,28.0,13.2,07,0.0,   ,00,00,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
43003,1969,01,02,27.5,12.3,07,0.0,   ,00,00,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
43003,1969,01,03,27.4,13.4,10,0.0,   ,00,00,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
43003,1969,01,04,27.5,14.6,09,0.0,   ,00,00,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
43003,1969,01,05,30.5,17.2,05,0.0,   ,00,00,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
43003,1969,01,06,31.5,18.8,06,0.0,   ,00,00,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
43003,1969,01,07,33.0,18.4,07,0.0,   ,00,00,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
43003,1969,01,08,30.5,17.7,08,0.0,   ,00,00,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
43003,1969,01,09,31.2,18.3,06,0.0,   ,00,00,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
43003,1969,01,10,32.2,18.4,07,0.0,   ,00,00,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
43003,1969,01,11,32.1,17.8,07,0.0,   ,00,00,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
43003,1969,01,12,31.3,17.1,07,0.0,   ,00,00,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
43003,1969,01,13,29.9,17.5,07,0.0,   ,00,00,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
43003,1969,01,14,29.3,16.2,12,0.0,   ,00,00,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
43003,1969,01,15,30.8,16.8,08,0.0,   ,00,00,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
43003,1969,01,16,33.9,16.1,08,0.0,   ,00,00,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
43003,1969,01,17,30.6,14.4,07,0.0,   ,00,00,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
43003,1969,01,18,31.5,13.1,08,0.0,   ,00,00,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
43003,1969,01,19,29.2,13.8,09,0.0,   ,00,00,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
43003,1969,01,20,30.4,16.2,07,0.0,   ,00,00,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
43003,1969,01,21,33.9,16.8,08,0.0,   ,00,00,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
43003,1969,01,22,34.1,17.8,08,0.0,   ,00,00,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
43003,1969,01,23,33.4,17.8,09,0.0,   ,00,00,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
43003,1969,01,24,33.5,18.0,09,0.0,   ,00,00,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
43003,1969,01,25,33.9,17.7,08,0.0,   ,00,00,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
43003,1969,01,26,34.5,16.1,07,0.0,   ,00,00,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
43003,1969,01,27,30.3,17.4,09,0.0,   ,00,00,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
43003,1969,01,28,27.7,16.4,10,0.0,   ,00,00,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
43003,1969,01,29,30.4,15.8,10,0.0,   ,00,00,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
43003,1969,01,30,30.6,15.8,08,0.0,   ,00,00,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
43003,1969,01,31,29.6,14.1,07,0.0,   ,00,00,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , , ,   , , ,   , , ,   ,  ,
