INDEX,YEAR,MN,HR,DT,SLP,MSLP,DBT,WBT,DPT,RH,VP,DD,FFF,AW,VV,Cl,A,Cm,A,Ch,A,Dl,Dm,Dh,TC,h,c,a,Ht,RF,EVP,DW,P,H,WAT,
43057,2010,01,12,01,1011.0,1012.2,23.2,20.4,18.8,076,21.7,07,002,02,95,0,0,3,5,0,0,0,9,0,5,7, , ,  ,0.0,005,  , , ,210,
43057,2010,01,12,02,1011.7,1012.9,24.6,22.2,21.0,080,24.9,11,004,02,95,0,0,0,0,0,0,0,0,0,0,9, , ,  ,0.0,008,  , , ,226,
43057,2010,01,12,04,1013.4,1014.6,23.4,20.0,18.0,072,20.6,34,004,03,95,0,0,0,0,0,0,0,0,0,0,9, , ,  ,0.0,006,  , , ,218,
43057,2010,01,12,05,1011.5,1012.7,21.0,20.6,20.4,096,24.0,00,000,04,95,0,0,0,0,0,0,0,0,0,0,9, , ,  ,0.0,006,  , , ,204,
43057,2010,01,12,06,1010.5,1011.7,22.4,21.4,20.9,091,24.7,05,004,02,95,0,0,0,0,0,0,0,0,0,0,9, , ,  ,0.0,008,  , , ,210,
43057,2010,01,12,07,1010.5,1011.7,24.0,21.0,19.3,075,22.4,05,004,03,96,0,0,0,0,0,0,0,0,0,0,9, , ,  ,0.0,008,  , , ,220,
43057,2010,01,12,08,1012.0,1013.0,23.8,21.0,19.4,077,22.5,00,000,02,95,0,0,0,0,0,0,0,0,0,0,9, , ,  ,0.0,008,  , , ,220,
43057,2010,01,12,09,1011.6,1012.8,23.0,21.4,20.5,086,24.1,05,002,02,95,5,2,3,2,1,1,9,9,9,6,6, , ,  ,0.0,008,  , , ,214,
43057,2010,01,12,10,1012.0,1013.2,23.4,19.8,17.6,070,20.1,05,004,03,95,1,1,3,2,2,4,9,9,9,7,5, , ,  ,0.0,008,  , , ,216,
43057,2010,01,12,11,1012.0,1013.2,24.0,23.0,22.5,091,27.3,07,002,01,95,5,2,3,2,1,2,9,9,9,6,5, , ,  ,0.0,006,  , , ,230,
43057,2010,01,12,12,1013.0,1014.2,25.0,23.2,22.3,085,26.9,29,002,01,95,0,0,0,0,0,0,0,0,0,0,9, , ,  ,0.0,006,  , , ,240,
43057,2010,01,12,13,1016.0,1017.2,21.8,19.6,18.3,080,21.0,00,000,03,95,0,0,0,0,1,3,0,0,9,3,9, , ,  ,0.0,006,  , , ,216,
43057,2010,01,12,14,1016.5,1017.7,19.4,13.2,7.2,045,10.1,05,004,03,96,0,0,0,0,1,2,0,0,9,2,9, , ,  ,0.0,006,  , , ,178,
43057,2010,01,12,15,1016.1,1017.3,23.0,19.0,16.5,067,18.8,00,000,02,95,0,0,0,0,1,1,0,0,9,1,9, , ,  ,0.0,010,  , , ,202,
43057,2010,01,12,16,1016.6,1017.8,24.8,22.6,21.5,082,25.6,07,004,03,95,0,0,0,0,0,0,0,0,0,0,9, , ,  ,0.0,008,  , , ,222,
43057,2010,01,12,17,1016.9,1018.1,22.8,21.8,21.3,091,25.3,07,004,02,95,1,1,0,0,0,0,9,0,0,1,6, , ,  ,0.0,008,  , , ,220,
43057,2010,01,12,18,1016.4,1017.6,22.2,20.4,19.4,084,22.5,02,002,01,95,0,0,0,0,0,0,0,0,0,0,9, , ,  ,0.0,010,  , , ,202,
43057,2010,01,12,19,1014.3,1015.9,22.6,21.0,20.1,086,23.5,07,004,02,95,0,0,0,0,0,0,0,0,0,0,9, , ,  ,0.0,008,  , , ,210,
43057,2010,01,12,20,1014.4,1015.6,23.2,21.0,19.8,081,23.1,02,002,02,95,5,1,3,1,1,1,9,9,9,3,5, , ,  ,0.0,008,  , , ,214,
43057,2010,01,12,21,1014.8,1016.0,23.4,20.4,18.7,075,21.6,00,000,03,95,5,1,0,0,1,1,9,0,9,2,5, , ,  ,0.0,006,  , , ,220,
43057,2010,01,12,22,1014.0,1015.2,22.0,20.4,19.5,086,22.7,00,000,02,95,5,1,3,1,1,2,9,9,9,4,5, , ,  ,0.0,008,  , , ,210,
43057,2010,01,12,23,1013.5,1014.7,21.8,20.8,20.3,091,23.8,02,002,01,95,0,0,0,0,0,0,0,0,0,0,9, , ,  ,0.0,008,  , , ,210,
43057,2010,01,12,24,1012.6,1013.8,22.4,21.2,20.6,089,24.3,07,002,01,95,0,0,0,0,0,0,0,0,0,0,9, , ,  ,0.0,006,  , , ,218,
43057,2010,01,12,25,1012.6,1013.8,22.0,19.0,17.1,074,19.5,00,000,03,95,0,0,0,0,1,1,0,0,9,1,9, , ,  ,0.0,006,  , , ,216,
43057,2010,01,12,26,1013.6,1014.8,22.2,19.0,17.0,072,19.4,07,006,02,95,0,0,0,0,0,0,0,0,0,0,9, , ,  ,0.0,008,  , , ,210,
43057,2010,01,12,27,1013.6,1014.8,21.0,20.8,20.7,098,24.4,07,004,02,95,0,0,3,5,1,1,0,9,9,6,8, , ,  ,0.0,008,  , , ,220,
43057,2010,01,12,28,1013.7,1014.9,23.0,19.6,17.5,071,20.0,07,006,02,95,4,2,3,1,1,1,9,9,9,5,5, , ,  ,0.0,010,  , , ,218,
43057,2010,01,12,29,1014.5,1015.7,23.0,19.2,16.8,068,19.1,07,006,02,95,0,0,3,1,1,1,0,9,9,2,7, , ,  ,0.0,008,  , , ,206,
43057,2010,01,12,30,1013.4,1014.6,23.8,20.4,18.4,072,21.1,07,004,03,95,0,0,0,0,0,0,0,0,0,0,9, , ,  ,0.0,008,  , , ,214,
43057,2010,01,12,31,1013.2,1014.4,22.6,20.8,19.8,084,23.1,07,002,02,95,0,0,0,0,0,0,0,0,0,0,9, , ,  ,0.0,008,  , , ,216,
43057,2010,01,48,01,1008.6,1009.8,28.0,24.0,22.1,070,26.6,34,006,04,96,0,0,0,0,0,0,0,0,0,0,9, , ,  ,0.0,008,  , , ,278,
43057,2010,01,48,02,1010.6,1011.8,29.0,25.4,23.8,074,29.5,32,006,04,96,1,1,0,0,1,2,9,0,9,3,5, , ,  ,0.0,008,  , , ,294,
43057,2010,01,48,03,1011.5,1012.7,26.0,23.0,21.5,076,25.6,34,010,05,96,0,0,0,0,1,1,0,0,9,1,9, , ,  ,0.0,008,  , , ,280,
43057,2010,01,48,04,1010.5,1011.7,25.6,21.0,18.4,064,21.1,34,008,06,95,0,0,0,0,0,0,0,0,0,0,9, , ,  ,0.0,010,  , , ,268,
43057,2010,01,48,05,1008.4,1009.6,26.6,23.0,21.2,072,25.2,34,004,04,96,0,0,0,0,0,0,0,0,0,0,9, , ,  ,0.0,010,  , , ,272,
43057,2010,01,48,06,1008.1,1009.5,28.0,24.4,22.7,073,27.6,34,004,04,95,0,0,0,0,1,1,0,0,9,1,9, , ,  ,0.0,008,  , , ,282,
43057,2010,01,48,07,1009.0,1010.2,29.0,22.4,18.8,054,21.7,00,000,05,95,0,0,0,0,1,1,0,0,9,1,9, , ,  ,0.0,012,  , , ,284,
43057,2010,01,48,08,1009.6,1010.8,27.4,22.2,19.4,062,22.5,34,004,05,97,0,0,0,0,0,0,0,0,0,0,9, , ,  ,0.0,012,  , , ,280,
43057,2010,01,48,09,1009.5,1010.7,28.4,21.8,18.1,054,20.8,32,004,04,96,0,0,0,0,1,1,0,0,9,1,9, , ,  ,0.0,010,  , , ,276,
43057,2010,01,48,10,1009.6,1010.8,28.0,24.2,22.4,072,27.1,34,004,04,96,0,0,3,2,1,1,9,9,9,3,8, , ,  ,0.0,012,  , , ,298,
43057,2010,01,48,11,1009.6,1010.8,28.4,25.8,24.7,080,31.1,23,004,03,95,1,1,3,2,1,2,9,9,9,5,5, , ,  ,0.0,010,  , , ,282,
43057,2010,01,48,12,1011.9,1013.1,27.2,23.4,21.5,071,25.6,34,006,05,96,1,1,3,1,1,1,9,9,9,3,6, , ,  ,0.0,010,  , , ,292,
43057,2010,01,48,13,1014.0,1015.2,25.4,17.4,11.3,041,13.4,32,006,06,97,0,0,0,0,1,5,0,0,9,5,9, , ,  ,0.0,010,  , , ,260,
43057,2010,01,48,14,1013.0,1014.2,26.0,21.0,18.1,062,20.0,34,010,05,95,0,0,0,0,1,2,0,0,9,2,9, , ,  ,0.0,010,  , , ,252,
43057,2010,01,48,15,1013.6,1014.8,27.2,23.2,21.2,070,25.2,34,008,05,96,0,0,0,0,0,0,0,0,0,0,9, , ,  ,0.0,012,  , , ,272,
43057,2010,01,48,16,1014.4,1015.6,28.6,26.2,25.2,082,32.1,29,004,05,96,0,0,0,0,1,1,0,0,9,1,9, , ,  ,0.0,012,  , , ,298,
43057,2010,01,48,17,1014.5,1015.7,29.2,19.4,12.6,036,14.6,34,006,05,97,0,0,0,0,0,0,0,0,0,0,9, , ,  ,0.0,014,  , , ,280,
43057,2010,01,48,18,1013.2,1014.4,26.8,22.0,19.4,064,22.5,34,004,05,96,0,0,0,0,0,0,0,0,0,0,9, , ,  ,0.0,012,  , , ,272,
43057,2010,01,48,19,1010.7,1011.9,28.4,22.4,19.2,057,22.2,34,006,04,95,0,0,0,0,1,1,0,0,9,1,9, , ,  ,0.0,014,  , , ,284,
43057,2010,01,48,20,1012.4,1013.6,29.0,23.0,19.9,058,23.2,34,006,03,96,5,1,3,3,1,1,9,9,9,5,6, , ,  ,0.0,014,  , , ,290,
43057,2010,01,48,21,1011.0,1012.2,27.8,23.8,21.9,070,26.3,34,006,03,95,0,0,0,0,1,1,0,0,9,1,9, , ,  ,0.0,010,  , , ,284,
43057,2010,01,48,22,1011.3,1012.5,28.2,23.0,20.3,062,23.8,29,004,03,96,0,0,0,0,0,0,0,0,0,0,9, , ,  ,0.0,012,  , , ,282,
43057,2010,01,48,23,1011.1,1012.3,27.6,22.4,19.6,062,22.8,29,004,04,96,0,0,0,0,0,0,0,0,0,0,9, , ,  ,0.0,014,  , , ,282,
43057,2010,01,48,24,1010.2,1011.4,27.0,22.2,19.6,064,22.8,29,006,04,96,0,0,0,0,0,0,0,0,0,0,9, , ,  ,0.0,012,  , , ,278,
43057,2010,01,48,25,1010.4,1011.6,27.2,21.6,18.4,059,21.1,34,006,04,95,0,0,0,0,1,1,0,0,9,1,9, , ,  ,0.0,010,  , , ,280,
43057,2010,01,48,26,1011.2,1012.4,29.0,22.4,18.8,054,21.7,29,004,04,96,0,0,0,0,0,0,0,0,0,0,9, , ,  ,0.0,014,  , , ,286,
43057,2010,01,48,27,1011.5,1012.7,28.0,21.8,18.3,056,21.0,34,006,04,95,0,0,3,3,1,1,0,9,9,4,8, , ,  ,0.0,010,  , , ,290,
43057,2010,01,48,28,1011.8,1013.0,27.6,21.6,18.2,057,20.9,34,014,03,95,0,0,3,1,1,1,9,9,9,2,7, , ,  ,0.0,012,  , , ,280,
43057,2010,01,48,29,1011.7,1012.9,28.0,21.6,18.0,054,20.6,34,006,04,96,0,0,0,0,0,0,0,0,0,0,9, , ,  ,0.0,012,  , , ,280,
43057,2010,01,48,30,1011.8,1013.0,28.0,23.0,20.4,063,24.0,34,008,05,96,0,0,0,0,0,0,0,0,0,0,9, , ,  ,0.0,012,  , , ,282,
43057,2010,01,48,31,1011.6,1012.8,29.0,21.8,17.7,051,20.2,29,004,03,96,0,0,0,0,0,0,0,0,0,0,9, , ,  ,0.0,014,  , , ,286,
43057,2010,02,12,01,1013.0,1014.2,23.0,22.6,22.4,096,27.1,00,000,01,95,0,0,3,2,1,1,0,9,9,3,8, , ,  ,0.0,008,  , , ,220,
