iter	Passed	Remaining
0	3	3439
1	6	3389
2	10	3345
3	13	3342
4	16	3379
5	20	3400
6	23	3404
7	27	3421
8	31	3414
9	34	3431
10	37	3412
11	41	3409
12	44	3401
13	48	3403
14	51	3407
15	55	3397
16	58	3392
17	62	3403
18	65	3398
19	69	3390
20	72	3367
21	76	3401
22	79	3384
23	82	3358
24	85	3335
25	88	3319
26	92	3328
27	95	3332
28	99	3318
29	102	3324
30	106	3325
31	110	3337
32	113	3339
33	117	3350
34	121	3362
35	126	3382
36	130	3387
37	133	3388
38	137	3399
39	142	3408
40	146	3426
41	150	3435
42	154	3434
43	158	3447
44	162	3446
45	166	3448
46	170	3448
47	174	3463
48	178	3468
49	182	3469
50	186	3472
51	191	3487
52	195	3485
53	199	3487
54	203	3488
55	207	3500
56	212	3510
57	217	3526
58	221	3528
59	225	3538
60	229	3539
61	233	3536
62	237	3531
63	242	3539
64	246	3539
65	249	3537
66	253	3534
67	258	3537
68	261	3534
69	266	3541
70	270	3535
71	274	3540
72	278	3534
73	281	3528
74	286	3530
75	290	3531
76	294	3532
77	298	3527
78	302	3524
79	306	3529
80	310	3525
81	314	3526
82	318	3523
83	322	3521
84	327	3520
85	330	3513
86	334	3514
87	339	3513
88	342	3510
89	346	3502
90	349	3495
91	354	3497
92	357	3491
93	361	3484
94	365	3479
95	369	3482
96	373	3481
97	377	3477
98	381	3471
99	385	3468
100	389	3470
101	393	3464
102	397	3458
103	400	3453
104	404	3450
105	408	3447
106	412	3441
107	416	3441
108	421	3441
109	424	3436
110	428	3432
111	432	3428
112	436	3428
113	440	3424
114	445	3425
115	449	3422
116	452	3418
117	456	3414
118	460	3408
119	464	3404
120	468	3401
121	471	3395
122	475	3388
123	478	3383
124	482	3380
125	486	3374
126	489	3367
127	493	3362
128	497	3355
129	500	3350
130	504	3347
131	508	3343
132	512	3338
133	516	3335
134	519	3330
135	523	3325
136	527	3322
137	531	3318
138	535	3314
139	539	3311
140	542	3306
141	546	3304
142	550	3301
143	554	3297
144	558	3292
145	562	3287
146	566	3285
147	569	3279
148	573	3275
149	576	3269
150	581	3267
151	584	3262
152	588	3257
153	592	3252
154	595	3247
155	599	3243
156	603	3238
157	607	3234
158	610	3230
159	615	3230
160	618	3225
161	622	3220
162	626	3215
163	630	3213
164	634	3210
165	638	3206
166	642	3204
167	647	3205
168	651	3203
169	655	3200
170	659	3198
171	664	3197
172	668	3194
173	672	3194
174	677	3192
175	681	3191
176	686	3191
177	690	3190
178	695	3189
179	699	3187
180	704	3186
181	708	3184
182	713	3183
183	717	3183
184	722	3184
185	727	3185
186	732	3183
187	736	3180
188	740	3176
189	744	3175
190	749	3173
191	753	3171
192	757	3168
193	762	3165
194	765	3162
195	769	3156
196	773	3151
197	777	3148
198	781	3144
199	785	3141
200	789	3137
201	793	3133
202	796	3128
203	800	3122
204	803	3117
205	807	3113
206	811	3108
207	815	3103
208	818	3098
209	822	3093
210	826	3090
211	830	3085
212	833	3080
213	837	3076
214	842	3075
215	846	3071
216	849	3066
217	853	3061
218	857	3059
219	861	3054
220	865	3051
221	869	3048
222	874	3046
223	878	3043
224	882	3039
225	886	3036
226	890	3032
227	894	3028
228	898	3026
229	902	3022
230	907	3021
231	912	3020
232	916	3018
233	921	3017
234	926	3015
235	930	3011
236	935	3010
237	939	3007
238	943	3004
239	948	3002
240	952	2998
241	960	3007
242	969	3019
243	979	3034
244	988	3044
245	997	3057
246	1008	3074
247	1018	3089
248	1029	3106
249	1040	3120
250	1049	3131
251	1058	3141
252	1064	3144
253	1070	3143
254	1074	3140
255	1079	3138
256	1084	3136
257	1089	3133
258	1093	3129
259	1097	3125
260	1102	3122
261	1107	3118
262	1111	3113
263	1115	3109
264	1119	3106
265	1124	3102
266	1128	3098
267	1132	3094
268	1137	3091
269	1142	3088
270	1146	3084
271	1151	3081
272	1155	3077
273	1159	3073
274	1164	3069
275	1168	3065
276	1172	3061
277	1176	3056
278	1181	3052
279	1186	3049
280	1190	3046
281	1194	3042
282	1199	3037
283	1203	3033
284	1207	3028
285	1211	3023
286	1215	3018
