valid_time,latitude,longitude,max_temperature,mean_temperature
2011-01-01,18.8,72.8,297.4356,295.6625
2011-01-01,19.05,72.8,297.97314,295.48734
2011-01-02,18.8,72.8,299.05536,296.7847
2011-01-02,19.05,72.8,299.47028,296.44553
2011-01-03,18.8,72.8,299.72052,297.5018
2011-01-03,19.05,72.8,300.412,297.4142
2011-01-04,18.8,72.8,300.25433,298.04688
2011-01-04,19.05,72.8,300.8942,298.08264
2011-01-05,18.8,72.8,300.31287,298.38498
2011-01-05,19.05,72.8,300.79193,298.2053
2011-01-06,18.8,72.8,299.93466,297.7645
2011-01-06,19.05,72.8,300.1723,297.54987
2011-01-07,18.8,72.8,299.6172,296.62894
2011-01-07,19.05,72.8,299.95917,296.31036
2011-01-08,18.8,72.8,298.58142,296.20047
2011-01-08,19.05,72.8,299.48932,296.0445
2011-01-09,18.8,72.8,299.19946,296.63492
2011-01-09,19.05,72.8,299.66318,296.32065
2011-01-10,18.8,72.8,299.67798,296.9505
2011-01-10,19.05,72.8,300.3236,296.5977
2011-01-11,18.8,72.8,299.25836,296.65195
2011-01-11,19.05,72.8,299.92554,296.43057
2011-01-12,18.8,72.8,299.00317,296.46988
2011-01-12,19.05,72.8,299.94308,296.3406
2011-01-13,18.8,72.8,298.45032,296.49277
2011-01-13,19.05,72.8,299.27502,296.45065
2011-01-14,18.8,72.8,298.57104,296.57614
2011-01-14,19.05,72.8,299.22583,296.4874
2011-01-15,18.8,72.8,298.8081,296.50876
2011-01-15,19.05,72.8,299.39322,296.35205
2011-01-16,18.8,72.8,298.67136,296.2026
2011-01-16,19.05,72.8,299.17322,295.95334
2011-01-17,18.8,72.8,298.41336,296.45306
2011-01-17,19.05,72.8,299.03278,296.208
2011-01-18,18.8,72.8,299.14258,296.7283
2011-01-18,19.05,72.8,299.81256,296.54053
2011-01-19,18.8,72.8,299.32205,296.9266
2011-01-19,19.05,72.8,299.9323,296.65192
2011-01-20,18.8,72.8,299.8557,297.20407
2011-01-20,19.05,72.8,300.54935,297.04086
2011-01-21,18.8,72.8,299.80762,297.39175
2011-01-21,19.05,72.8,300.4902,297.2024
2011-01-22,18.8,72.8,299.32617,297.11646
