valid_time,latitude,longitude,t2m,number
2012-01-01,19.05,72.8,298.7636,0
2012-01-01,18.8,72.8,298.4165,0
2012-01-02,19.05,72.8,299.0282,0
2012-01-02,18.8,72.8,298.37823,0
2012-01-03,19.05,72.8,299.4902,0
2012-01-03,18.8,72.8,298.8562,0
2012-01-04,19.05,72.8,298.96832,0
2012-01-04,18.8,72.8,298.2823,0
2012-01-05,19.05,72.8,300.2144,0
2012-01-05,18.8,72.8,299.34198,0
2012-01-06,19.05,72.8,299.6479,0
2012-01-06,18.8,72.8,298.935,0
2012-01-07,19.05,72.8,298.95746,0
2012-01-07,18.8,72.8,298.29865,0
2012-01-08,19.05,72.8,298.81244,0
2012-01-08,18.8,72.8,298.39557,0
2012-01-09,19.05,72.8,298.07617,0
2012-01-09,18.8,72.8,297.68076,0
2012-01-10,19.05,72.8,298.75137,0
2012-01-10,18.8,72.8,298.46802,0
2012-01-11,19.05,72.8,299.43103,0
2012-01-11,18.8,72.8,299.31247,0
2012-01-12,19.05,72.8,299.74136,0
2012-01-12,18.8,72.8,299.75412,0
2012-01-13,19.05,72.8,299.8101,0
2012-01-13,18.8,72.8,299.63177,0
2012-01-14,19.05,72.8,300.4521,0
2012-01-14,18.8,72.8,300.01318,0
2012-01-15,19.05,72.8,299.71954,0
2012-01-15,18.8,72.8,298.83954,0
2012-01-16,19.05,72.8,298.53308,0
2012-01-16,18.8,72.8,297.94525,0
2012-01-17,19.05,72.8,298.05707,0
2012-01-17,18.8,72.8,297.48846,0
2012-01-18,19.05,72.8,296.35406,0
2012-01-18,18.8,72.8,296.14993,0
2012-01-19,19.05,72.8,296.1271,0
2012-01-19,18.8,72.8,295.87115,0
2012-01-20,19.05,72.8,297.45828,0
2012-01-20,18.8,72.8,297.01767,0
2012-01-21,19.05,72.8,299.0712,0
2012-01-21,18.8,72.8,298.5216,0
2012-01-22,19.05,72.8,297.2782,0
2012-01-22,18.8,72.8,297.0414,0
2012-01-23,19.05,72.8,298.2025,0
2012-01-23,18.8,72.8,297.50806,0
2012-01-24,19.05,72.8,299.93817,0
2012-01-24,18.8,72.8,299.2448,0
2012-01-25,19.05,72.8,298.68484,0
2012-01-25,18.8,72.8,297.99628,0
2012-01-26,19.05,72.8,298.4583,0
2012-01-26,18.8,72.8,297.88354,0
2012-01-27,19.05,72.8,298.55157,0
2012-01-27,18.8,72.8,297.9684,0
2012-01-28,19.05,72.8,298.31235,0
2012-01-28,18.8,72.8,297.88138,0
