valid_time,latitude,longitude,max_temperature,mean_temperature,max_precipitation,mean_precipitation,mslp
01-01-17,18.8,72.8,299.98834,297.88855,0,0,101286.914
01-01-17,19.05,72.8,300.50903,297.68063,0,0,101289.34
02-01-17,18.8,72.8,300.18155,297.97018,0,0,101376.47
02-01-17,19.05,72.8,300.5971,297.71616,0,0,101381.94
03-01-17,18.8,72.8,300.8405,298.17783,0,0,101383.6
03-01-17,19.05,72.8,301.48172,297.87106,0,0,101392.07
04-01-17,18.8,72.8,300.4218,297.86172,0,0,101343.48
04-01-17,19.05,72.8,300.91095,297.51218,0,0,101347.88
05-01-17,18.8,72.8,299.6968,297.62204,0,0,101287.94
05-01-17,19.05,72.8,300.17682,297.37143,0,0,101291.65
06-01-17,18.8,72.8,298.3443,296.6274,0,0,101262.68
06-01-17,19.05,72.8,298.6353,296.32748,0,0,101263.62
07-01-17,18.8,72.8,297.4111,295.82837,1.91E-07,2.38E-08,101159.34
07-01-17,19.05,72.8,297.7423,295.63998,1.05E-06,1.15E-07,101157.57
08-01-17,18.8,72.8,298.12735,296.46887,1.00E-05,6.60E-07,101067.59
08-01-17,19.05,72.8,298.42325,296.29803,3.82E-07,3.18E-08,101066.5
09-01-17,18.8,72.8,297.89844,296.53378,0,0,101141.086
09-01-17,19.05,72.8,298.27878,296.5177,1.91E-07,7.94E-09,101140.375
10-01-17,18.8,72.8,298.36176,296.32626,0,0,101277.4
10-01-17,19.05,72.8,298.66168,296.11197,0,0,101284.875
11-01-17,18.8,72.8,298.69186,295.9915,0,0,101309.52
11-01-17,19.05,72.8,298.92236,295.65045,0,0,101320.48
12-01-17,18.8,72.8,298.29248,295.78513,0,0,101180.76
12-01-17,19.05,72.8,298.6238,295.36084,0,0,101188.18
13-01-17,18.8,72.8,298.09186,296.20688,0,0,101122.15
13-01-17,19.05,72.8,298.5301,295.8434,0,0,101123.125
14-01-17,18.8,72.8,298.5038,296.86465,0,0,101181.43
14-01-17,19.05,72.8,299.00128,296.60654,0,0,101181.22
15-01-17,18.8,72.8,298.89578,297.189,0,0,101406.875
15-01-17,19.05,72.8,299.5952,297.06094,0,0,101407.44
16-01-17,18.8,72.8,298.68347,297.15384,0,0,101470.04
16-01-17,19.05,72.8,299.12143,296.96146,0,0,101471.47
17-01-17,18.8,72.8,298.5478,296.8942,0,0,101419.82
17-01-17,19.05,72.8,299.07666,296.6837,0,0,101424.48
18-01-17,18.8,72.8,298.71283,296.868,0,0,101443.625
18-01-17,19.05,72.8,299.32654,296.65308,0,0,101452.02
19-01-17,18.8,72.8,299.99387,297.6843,0,0,101469.21
19-01-17,19.05,72.8,300.16473,297.49545,0,0,101475.77
20-01-17,18.8,72.8,300.00534,297.80362,0,0,101476.414
20-01-17,19.05,72.8,300.491,297.60373,0,0,101482.25
21-01-17,18.8,72.8,300.18863,297.80185,0,0,101482
21-01-17,19.05,72.8,300.5647,297.6315,0,0,101490.59
22-01-17,18.8,72.8,300.45364,298.39322,0,0,101567.43
22-01-17,19.05,72.8,300.82462,298.1835,0,0,101574.805
23-01-17,18.8,72.8,300.9779,298.6886,0,0,101501.73
23-01-17,19.05,72.8,301.6275,298.5391,0,0,101507.94
24-01-17,18.8,72.8,301.81168,299.20398,0,0,101410.51
24-01-17,19.05,72.8,302.26892,299.058,0,0,101417.29
25-01-17,18.8,72.8,301.94604,298.99023,0,0,101446.82
25-01-17,19.05,72.8,302.58633,299.00912,0,0,101453.38
26-01-17,18.8,72.8,299.7966,298.34232,0,0,101427.164
26-01-17,19.05,72.8,300.14948,298.34286,0,0,101431.43
27-01-17,18.8,72.8,299.42764,297.3521,0,0,101431.875
27-01-17,19.05,72.8,299.88123,297.23923,0,0,101444.51
28-01-17,18.8,72.8,301.2254,298.2122,0,0,101344.1
28-01-17,19.05,72.8,301.42303,298.02283,0,0,101358.54
29-01-17,18.8,72.8,301.9452,298.6107,0,0,101346.53
29-01-17,19.05,72.8,302.86536,298.42017,0,0,101358.27
30-01-17,18.8,72.8,299.81207,298.2988,0,0,101308.305
