valid_time,latitude,longitude,t2m,number
2023-01-01,19.05,72.8,296.25308,0
2023-01-01,18.8,72.8,296.4976,0
2023-01-02,19.05,72.8,296.8266,0
2023-01-02,18.8,72.8,297.1205,0
2023-01-03,19.05,72.8,296.86142,0
2023-01-03,18.8,72.8,297.13705,0
2023-01-04,19.05,72.8,296.79276,0
2023-01-04,18.8,72.8,297.03622,0
2023-01-05,19.05,72.8,297.30252,0
2023-01-05,18.8,72.8,297.5328,0
2023-01-06,19.05,72.8,298.17026,0
2023-01-06,18.8,72.8,298.33752,0
2023-01-07,19.05,72.8,298.7025,0
2023-01-07,18.8,72.8,298.94296,0
2023-01-08,19.05,72.8,298.49182,0
2023-01-08,18.8,72.8,298.6518,0
2023-01-09,19.05,72.8,297.77466,0
2023-01-09,18.8,72.8,298.00803,0
2023-01-10,19.05,72.8,297.46268,0
2023-01-10,18.8,72.8,297.67563,0
2023-01-11,19.05,72.8,297.1993,0
2023-01-11,18.8,72.8,297.2784,0
2023-01-12,19.05,72.8,296.4713,0
2023-01-12,18.8,72.8,296.59625,0
2023-01-13,19.05,72.8,295.92166,0
2023-01-13,18.8,72.8,296.0715,0
2023-01-14,19.05,72.8,295.0226,0
2023-01-14,18.8,72.8,295.15176,0
2023-01-15,19.05,72.8,294.91476,0
2023-01-15,18.8,72.8,295.06433,0
2023-01-16,19.05,72.8,295.0461,0
2023-01-16,18.8,72.8,295.22382,0
2023-01-17,19.05,72.8,295.13797,0
2023-01-17,18.8,72.8,295.308,0
2023-01-18,19.05,72.8,295.70645,0
2023-01-18,18.8,72.8,295.9132,0
2023-01-19,19.05,72.8,296.01852,0
2023-01-19,18.8,72.8,296.18378,0
2023-01-20,19.05,72.8,296.1097,0
2023-01-20,18.8,72.8,296.3793,0
2023-01-21,19.05,72.8,295.97403,0
2023-01-21,18.8,72.8,296.16873,0
2023-01-22,19.05,72.8,295.6068,0
2023-01-22,18.8,72.8,295.77774,0
2023-01-23,19.05,72.8,295.13654,0
2023-01-23,18.8,72.8,295.2999,0
2023-01-24,19.05,72.8,294.83133,0
2023-01-24,18.8,72.8,294.97736,0
2023-01-25,19.05,72.8,294.8168,0
2023-01-25,18.8,72.8,294.9637,0
2023-01-26,19.05,72.8,295.3442,0
2023-01-26,18.8,72.8,295.33395,0
2023-01-27,19.05,72.8,296.96353,0
2023-01-27,18.8,72.8,296.9501,0
