valid_time,latitude,longitude,mean_tp
01-01-24,19.05,72.8,0
01-01-24,18.8,72.8,0
02-01-24,19.05,72.8,0
02-01-24,18.8,72.8,0
03-01-24,19.05,72.8,0
03-01-24,18.8,72.8,0
04-01-24,19.05,72.8,0
04-01-24,18.8,72.8,0
05-01-24,19.05,72.8,0
05-01-24,18.8,72.8,0
06-01-24,19.05,72.8,0
06-01-24,18.8,72.8,0
07-01-24,19.05,72.8,0
07-01-24,18.8,72.8,0
08-01-24,19.05,72.8,1.59E-07
08-01-24,18.8,72.8,8.35E-07
09-01-24,19.05,72.8,2.74E-05
09-01-24,18.8,72.8,4.42E-05
10-01-24,19.05,72.8,1.15E-05
10-01-24,18.8,72.8,1.32E-05
11-01-24,19.05,72.8,3.86E-07
11-01-24,18.8,72.8,1.11E-06
12-01-24,19.05,72.8,0
12-01-24,18.8,72.8,0
13-01-24,19.05,72.8,0
13-01-24,18.8,72.8,0
14-01-24,19.05,72.8,0
14-01-24,18.8,72.8,0
15-01-24,19.05,72.8,0
15-01-24,18.8,72.8,0
16-01-24,19.05,72.8,0
16-01-24,18.8,72.8,0
17-01-24,19.05,72.8,0
17-01-24,18.8,72.8,0
18-01-24,19.05,72.8,0
18-01-24,18.8,72.8,1.43E-07
19-01-24,19.05,72.8,0
19-01-24,18.8,72.8,0
20-01-24,19.05,72.8,1.19E-08
20-01-24,18.8,72.8,0
21-01-24,19.05,72.8,0
21-01-24,18.8,72.8,0
22-01-24,19.05,72.8,0
22-01-24,18.8,72.8,0
23-01-24,19.05,72.8,0
23-01-24,18.8,72.8,0
24-01-24,19.05,72.8,0
24-01-24,18.8,72.8,0
25-01-24,19.05,72.8,0
25-01-24,18.8,72.8,0
26-01-24,19.05,72.8,0
26-01-24,18.8,72.8,0
27-01-24,19.05,72.8,0
27-01-24,18.8,72.8,0
28-01-24,19.05,72.8,0
28-01-24,18.8,72.8,0
29-01-24,19.05,72.8,0
29-01-24,18.8,72.8,0
30-01-24,19.05,72.8,0
30-01-24,18.8,72.8,0
31-01-24,19.05,72.8,0
31-01-24,18.8,72.8,0
01-02-24,19.05,72.8,1.91E-06
01-02-24,18.8,72.8,3.70E-06
02-02-24,19.05,72.8,0
02-02-24,18.8,72.8,0
03-02-24,19.05,72.8,0
03-02-24,18.8,72.8,0
04-02-24,19.05,72.8,0
04-02-24,18.8,72.8,0
05-02-24,19.05,72.8,0
05-02-24,18.8,72.8,0
06-02-24,19.05,72.8,0
06-02-24,18.8,72.8,0
07-02-24,19.05,72.8,0
07-02-24,18.8,72.8,0
08-02-24,19.05,72.8,0
08-02-24,18.8,72.8,0
09-02-24,19.05,72.8,0
09-02-24,18.8,72.8,0
10-02-24,19.05,72.8,0
10-02-24,18.8,72.8,0
11-02-24,19.05,72.8,0
11-02-24,18.8,72.8,0
12-02-24,19.05,72.8,0
12-02-24,18.8,72.8,0
13-02-24,19.05,72.8,0
13-02-24,18.8,72.8,0
14-02-24,19.05,72.8,0
14-02-24,18.8,72.8,0
15-02-24,19.05,72.8,0
15-02-24,18.8,72.8,0
16-02-24,19.05,72.8,0
16-02-24,18.8,72.8,0
17-02-24,19.05,72.8,0
17-02-24,18.8,72.8,0
18-02-24,19.05,72.8,0
18-02-24,18.8,72.8,0
19-02-24,19.05,72.8,0
19-02-24,18.8,72.8,0
20-02-24,19.05,72.8,0
20-02-24,18.8,72.8,0
21-02-24,19.05,72.8,2.62E-07
21-02-24,18.8,72.8,3.62E-07
22-02-24,19.05,72.8,1.16E-06
22-02-24,18.8,72.8,7.31E-07
23-02-24,19.05,72.8,0
23-02-24,18.8,72.8,2.38E-08
24-02-24,19.05,72.8,0
24-02-24,18.8,72.8,0
25-02-24,19.05,72.8,0
25-02-24,18.8,72.8,0
26-02-24,19.05,72.8,0
26-02-24,18.8,72.8,0
27-02-24,19.05,72.8,0
27-02-24,18.8,72.8,0
28-02-24,19.05,72.8,0
28-02-24,18.8,72.8,0
29-02-24,19.05,72.8,0
29-02-24,18.8,72.8,0
01-03-24,19.05,72.8,0
01-03-24,18.8,72.8,0
02-03-24,19.05,72.8,3.18E-08
02-03-24,18.8,72.8,1.99E-08
03-03-24,19.05,72.8,2.76E-05
03-03-24,18.8,72.8,2.20E-05
04-03-24,19.05,72.8,0
04-03-24,18.8,72.8,0
05-03-24,19.05,72.8,0
05-03-24,18.8,72.8,0
06-03-24,19.05,72.8,0
06-03-24,18.8,72.8,0
07-03-24,19.05,72.8,0
07-03-24,18.8,72.8,0
08-03-24,19.05,72.8,0
08-03-24,18.8,72.8,0
09-03-24,19.05,72.8,0
09-03-24,18.8,72.8,0
10-03-24,19.05,72.8,0
10-03-24,18.8,72.8,0
11-03-24,19.05,72.8,0
11-03-24,18.8,72.8,0
12-03-24,19.05,72.8,0
12-03-24,18.8,72.8,0
13-03-24,19.05,72.8,0
13-03-24,18.8,72.8,0
14-03-24,19.05,72.8,7.55E-08
14-03-24,18.8,72.8,3.97E-08
15-03-24,19.05,72.8,0
15-03-24,18.8,72.8,0
16-03-24,19.05,72.8,0
16-03-24,18.8,72.8,0
17-03-24,19.05,72.8,2.78E-08
17-03-24,18.8,72.8,3.97E-09
18-03-24,19.05,72.8,3.50E-07
18-03-24,18.8,72.8,3.02E-07
19-03-24,19.05,72.8,1.23E-06
19-03-24,18.8,72.8,9.30E-07
20-03-24,19.05,72.8,0
20-03-24,18.8,72.8,0
21-03-24,19.05,72.8,0
21-03-24,18.8,72.8,0
22-03-24,19.05,72.8,0
22-03-24,18.8,72.8,0
23-03-24,19.05,72.8,5.56E-08
23-03-24,18.8,72.8,0
24-03-24,19.05,72.8,0
24-03-24,18.8,72.8,0
25-03-24,19.05,72.8,0
25-03-24,18.8,72.8,0
26-03-24,19.05,72.8,0
26-03-24,18.8,72.8,0
27-03-24,19.05,72.8,0
27-03-24,18.8,72.8,0
28-03-24,19.05,72.8,0
28-03-24,18.8,72.8,0
29-03-24,19.05,72.8,0
29-03-24,18.8,72.8,0
30-03-24,19.05,72.8,0
30-03-24,18.8,72.8,0
31-03-24,19.05,72.8,0
31-03-24,18.8,72.8,0
01-04-24,19.05,72.8,0
01-04-24,18.8,72.8,0
02-04-24,19.05,72.8,0
02-04-24,18.8,72.8,0
03-04-24,19.05,72.8,1.59E-08
03-04-24,18.8,72.8,3.97E-09
04-04-24,19.05,72.8,0
04-04-24,18.8,72.8,0
05-04-24,19.05,72.8,0
05-04-24,18.8,72.8,0
06-04-24,19.05,72.8,0
06-04-24,18.8,72.8,0
07-04-24,19.05,72.8,0
07-04-24,18.8,72.8,0
08-04-24,19.05,72.8,0
08-04-24,18.8,72.8,0
09-04-24,19.05,72.8,7.94E-09
09-04-24,18.8,72.8,0
10-04-24,19.05,72.8,3.26E-07
10-04-24,18.8,72.8,3.14E-07
11-04-24,19.05,72.8,0
11-04-24,18.8,72.8,3.58E-08
12-04-24,19.05,72.8,1.75E-07
12-04-24,18.8,72.8,9.54E-08
13-04-24,19.05,72.8,1.59E-07
13-04-24,18.8,72.8,2.38E-07
14-04-24,19.05,72.8,1.43E-07
14-04-24,18.8,72.8,4.77E-08
15-04-24,19.05,72.8,0
15-04-24,18.8,72.8,0
16-04-24,19.05,72.8,6.74E-10
16-04-24,18.8,72.8,2.92E-06
17-04-24,19.05,72.8,0
17-04-24,18.8,72.8,0
18-04-24,19.05,72.8,5.16E-08
18-04-24,18.8,72.8,4.77E-08
19-04-24,19.05,72.8,7.59E-07
19-04-24,18.8,72.8,0
20-04-24,19.05,72.8,4.25E-07
20-04-24,18.8,72.8,1.75E-07
