valid_time,latitude,longitude,mean_t2m
01-01-24,19.05,72.8,298.72922
01-01-24,18.8,72.8,298.79312
02-01-24,19.05,72.8,298.4006
02-01-24,18.8,72.8,298.49875
03-01-24,19.05,72.8,297.95554
03-01-24,18.8,72.8,298.13846
04-01-24,19.05,72.8,297.34164
04-01-24,18.8,72.8,297.49515
05-01-24,19.05,72.8,297.2723
05-01-24,18.8,72.8,297.35242
06-01-24,19.05,72.8,298.1513
06-01-24,18.8,72.8,298.2595
07-01-24,19.05,72.8,298.5051
07-01-24,18.8,72.8,298.60324
08-01-24,19.05,72.8,299.4279
08-01-24,18.8,72.8,299.44943
09-01-24,19.05,72.8,298.85513
09-01-24,18.8,72.8,298.95828
10-01-24,19.05,72.8,299.24686
10-01-24,18.8,72.8,299.24658
11-01-24,19.05,72.8,299.76593
11-01-24,18.8,72.8,299.712
12-01-24,19.05,72.8,300.1791
12-01-24,18.8,72.8,300.11755
13-01-24,19.05,72.8,300.10394
13-01-24,18.8,72.8,299.97473
14-01-24,19.05,72.8,299.79288
14-01-24,18.8,72.8,299.7385
15-01-24,19.05,72.8,298.4573
15-01-24,18.8,72.8,298.6218
16-01-24,19.05,72.8,297.22403
16-01-24,18.8,72.8,297.26022
17-01-24,19.05,72.8,296.8956
17-01-24,18.8,72.8,296.9744
18-01-24,19.05,72.8,296.65338
18-01-24,18.8,72.8,296.6658
19-01-24,19.05,72.8,296.70752
19-01-24,18.8,72.8,296.7665
20-01-24,19.05,72.8,297.18613
20-01-24,18.8,72.8,297.28052
21-01-24,19.05,72.8,297.4896
21-01-24,18.8,72.8,297.5101
22-01-24,19.05,72.8,297.46664
22-01-24,18.8,72.8,297.4148
23-01-24,19.05,72.8,297.33267
23-01-24,18.8,72.8,297.4127
24-01-24,19.05,72.8,297.21674
24-01-24,18.8,72.8,297.2696
25-01-24,19.05,72.8,297.0687
25-01-24,18.8,72.8,297.2189
26-01-24,19.05,72.8,297.53824
26-01-24,18.8,72.8,297.64432
27-01-24,19.05,72.8,298.15463
27-01-24,18.8,72.8,298.32544
28-01-24,19.05,72.8,298.22537
28-01-24,18.8,72.8,298.41977
29-01-24,19.05,72.8,298.18585
29-01-24,18.8,72.8,298.27817
30-01-24,19.05,72.8,297.7166
30-01-24,18.8,72.8,297.90298
31-01-24,19.05,72.8,297.1038
31-01-24,18.8,72.8,297.29657
01-02-24,19.05,72.8,296.9688
01-02-24,18.8,72.8,296.97256
02-02-24,19.05,72.8,297.3367
02-02-24,18.8,72.8,297.24063
03-02-24,19.05,72.8,298.54953
03-02-24,18.8,72.8,298.4537
04-02-24,19.05,72.8,298.96423
04-02-24,18.8,72.8,298.83218
05-02-24,19.05,72.8,298.83505
05-02-24,18.8,72.8,298.80087
06-02-24,19.05,72.8,298.61606
06-02-24,18.8,72.8,298.65262
07-02-24,19.05,72.8,298.77084
07-02-24,18.8,72.8,298.73904
08-02-24,19.05,72.8,298.71964
08-02-24,18.8,72.8,298.6765
09-02-24,19.05,72.8,298.0737
09-02-24,18.8,72.8,298.07483
10-02-24,19.05,72.8,298.1201
10-02-24,18.8,72.8,298.1565
11-02-24,19.05,72.8,297.81168
11-02-24,18.8,72.8,297.89038
12-02-24,19.05,72.8,297.7297
12-02-24,18.8,72.8,297.79147
13-02-24,19.05,72.8,297.81766
13-02-24,18.8,72.8,297.87247
14-02-24,19.05,72.8,298.3057
14-02-24,18.8,72.8,298.3418
15-02-24,19.05,72.8,298.2682
15-02-24,18.8,72.8,298.20114
16-02-24,19.05,72.8,298.6801
16-02-24,18.8,72.8,298.55954
17-02-24,19.05,72.8,298.94205
17-02-24,18.8,72.8,298.84067
18-02-24,19.05,72.8,299.0913
18-02-24,18.8,72.8,298.85562
19-02-24,19.05,72.8,298.94272
19-02-24,18.8,72.8,298.82443
20-02-24,19.05,72.8,298.7019
20-02-24,18.8,72.8,298.67017
21-02-24,19.05,72.8,297.90842
21-02-24,18.8,72.8,297.85904
22-02-24,19.05,72.8,297.80765
22-02-24,18.8,72.8,297.76346
23-02-24,19.05,72.8,297.85886
23-02-24,18.8,72.8,297.7216
24-02-24,19.05,72.8,298.3959
24-02-24,18.8,72.8,298.38797
