valid_time,latitude,longitude,msl
01-01-24,19.05,72.8,101281.37
01-01-24,18.8,72.8,101279.91
02-01-24,19.05,72.8,101227.85
02-01-24,18.8,72.8,101224.32
03-01-24,19.05,72.8,101165.26
03-01-24,18.8,72.8,101160.195
04-01-24,19.05,72.8,101203.43
04-01-24,18.8,72.8,101200.57
05-01-24,19.05,72.8,101212.57
05-01-24,18.8,72.8,101210.24
06-01-24,19.05,72.8,101217.97
06-01-24,18.8,72.8,101211.73
07-01-24,19.05,72.8,101218.305
07-01-24,18.8,72.8,101217.69
08-01-24,19.05,72.8,101215.21
08-01-24,18.8,72.8,101211.37
09-01-24,19.05,72.8,101282.81
09-01-24,18.8,72.8,101285.43
10-01-24,19.05,72.8,101307.22
10-01-24,18.8,72.8,101303.32
11-01-24,19.05,72.8,101323.23
11-01-24,18.8,72.8,101316.74
12-01-24,19.05,72.8,101254.44
12-01-24,18.8,72.8,101247.81
13-01-24,19.05,72.8,101351.35
13-01-24,18.8,72.8,101350.22
14-01-24,19.05,72.8,101426.88
14-01-24,18.8,72.8,101417.97
15-01-24,19.05,72.8,101409.555
15-01-24,18.8,72.8,101405.06
16-01-24,19.05,72.8,101222.9
16-01-24,18.8,72.8,101223.695
17-01-24,19.05,72.8,101152.23
17-01-24,18.8,72.8,101154.1
18-01-24,19.05,72.8,101295.54
18-01-24,18.8,72.8,101296.85
19-01-24,19.05,72.8,101285.81
19-01-24,18.8,72.8,101288.97
20-01-24,19.05,72.8,101391.72
20-01-24,18.8,72.8,101391.805
21-01-24,19.05,72.8,101370.29
21-01-24,18.8,72.8,101367.73
22-01-24,19.05,72.8,101426.59
22-01-24,18.8,72.8,101427.695
23-01-24,19.05,72.8,101471.23
23-01-24,18.8,72.8,101466.15
24-01-24,19.05,72.8,101408.664
24-01-24,18.8,72.8,101398.27
25-01-24,19.05,72.8,101485.69
25-01-24,18.8,72.8,101476.25
26-01-24,19.05,72.8,101594.88
26-01-24,18.8,72.8,101588.01
27-01-24,19.05,72.8,101600.43
27-01-24,18.8,72.8,101592.15
28-01-24,19.05,72.8,101562.164
28-01-24,18.8,72.8,101555.77
29-01-24,19.05,72.8,101555.375
29-01-24,18.8,72.8,101550.15
30-01-24,19.05,72.8,101462.49
30-01-24,18.8,72.8,101459.48
31-01-24,19.05,72.8,101452.445
31-01-24,18.8,72.8,101456.62
01-02-24,19.05,72.8,101537.69
01-02-24,18.8,72.8,101541.23
02-02-24,19.05,72.8,101541.73
02-02-24,18.8,72.8,101537.21
03-02-24,19.05,72.8,101451.62
03-02-24,18.8,72.8,101444.81
04-02-24,19.05,72.8,101524.055
04-02-24,18.8,72.8,101525.086
05-02-24,19.05,72.8,101579.99
05-02-24,18.8,72.8,101579.25
06-02-24,19.05,72.8,101557.625
06-02-24,18.8,72.8,101553.82
07-02-24,19.05,72.8,101613.69
07-02-24,18.8,72.8,101606.72
08-02-24,19.05,72.8,101530
08-02-24,18.8,72.8,101518.84
09-02-24,19.05,72.8,101478.53
09-02-24,18.8,72.8,101474.6
10-02-24,19.05,72.8,101580.87
10-02-24,18.8,72.8,101576.34
11-02-24,19.05,72.8,101607.43
11-02-24,18.8,72.8,101602.73
12-02-24,19.05,72.8,101544.26
12-02-24,18.8,72.8,101541.16
13-02-24,19.05,72.8,101519.85
13-02-24,18.8,72.8,101514.62
14-02-24,19.05,72.8,101476.445
14-02-24,18.8,72.8,101464.055
15-02-24,19.05,72.8,101361.555
15-02-24,18.8,72.8,101356.1
16-02-24,19.05,72.8,101334.73
16-02-24,18.8,72.8,101338.04
17-02-24,19.05,72.8,101259.06
17-02-24,18.8,72.8,101262.31
18-02-24,19.05,72.8,101160.26
18-02-24,18.8,72.8,101165.125
19-02-24,19.05,72.8,101230.87
19-02-24,18.8,72.8,101232.97
20-02-24,19.05,72.8,101318.65
20-02-24,18.8,72.8,101317.77
21-02-24,19.05,72.8,101314.51
21-02-24,18.8,72.8,101317.414
22-02-24,19.05,72.8,101359.48
22-02-24,18.8,72.8,101358.46
23-02-24,19.05,72.8,101329.03
23-02-24,18.8,72.8,101327.94
24-02-24,19.05,72.8,101252.56
24-02-24,18.8,72.8,101244.65
25-02-24,19.05,72.8,101106.65
25-02-24,18.8,72.8,101100.18
26-02-24,19.05,72.8,101019.65
26-02-24,18.8,72.8,101022.49
27-02-24,19.05,72.8,101200.125
27-02-24,18.8,72.8,101202.27
28-02-24,19.05,72.8,101133.75
28-02-24,18.8,72.8,101133.49
29-02-24,19.05,72.8,101093.71
29-02-24,18.8,72.8,101092.99
01-03-24,19.05,72.8,101217.836
01-03-24,18.8,72.8,101223.4
02-03-24,19.05,72.8,101280.375
02-03-24,18.8,72.8,101285.9
03-03-24,19.05,72.8,101344.78
03-03-24,18.8,72.8,101345.445
04-03-24,19.05,72.8,101384.73
04-03-24,18.8,72.8,101383.75
05-03-24,19.05,72.8,101317.21
05-03-24,18.8,72.8,101316.78
06-03-24,19.05,72.8,101298.63
06-03-24,18.8,72.8,101299.02
