INDEX,YEAR,MN,DT,HR,SLP,MSLP,DBT,WBT,DPT,RH,DD,FFF,RF,EVP
43057,2010,1,1,12,1011.0,1012.2,23.2,20.4,18.8,076,07,002,0.0,005
43057,2010,1,2,12,1011.7,1012.9,24.6,22.2,21.0,080,11,004,0.0,008
43057,2010,1,4,12,1013.4,1014.6,23.4,20.0,18.0,072,34,004,0.0,006
43057,2010,1,5,12,1011.5,1012.7,21.0,20.6,20.4,096,00,000,0.0,006
43057,2010,1,6,12,1010.5,1011.7,22.4,21.4,20.9,091,05,004,0.0,008
43057,2010,1,7,12,1010.5,1011.7,24.0,21.0,19.3,075,05,004,0.0,008
43057,2010,1,8,12,1012.0,1013.0,23.8,21.0,19.4,077,00,000,0.0,008
43057,2010,1,9,12,1011.6,1012.8,23.0,21.4,20.5,086,05,002,0.0,008
43057,2010,1,10,12,1012.0,1013.2,23.4,19.8,17.6,070,05,004,0.0,008
43057,2010,1,11,12,1012.0,1013.2,24.0,23.0,22.5,091,07,002,0.0,006
43057,2010,1,12,12,1013.0,1014.2,25.0,23.2,22.3,085,29,002,0.0,006
43057,2010,1,13,12,1016.0,1017.2,21.8,19.6,18.3,080,00,000,0.0,006
43057,2010,1,14,12,1016.5,1017.7,19.4,13.2,7.2,045,05,004,0.0,006
43057,2010,1,15,12,1016.1,1017.3,23.0,19.0,16.5,067,00,000,0.0,010
43057,2010,1,16,12,1016.6,1017.8,24.8,22.6,21.5,082,07,004,0.0,008
43057,2010,1,17,12,1016.9,1018.1,22.8,21.8,21.3,091,07,004,0.0,008
43057,2010,1,18,12,1016.4,1017.6,22.2,20.4,19.4,084,02,002,0.0,010
43057,2010,1,19,12,1014.3,1015.9,22.6,21.0,20.1,086,07,004,0.0,008
43057,2010,1,20,12,1014.4,1015.6,23.2,21.0,19.8,081,02,002,0.0,008
43057,2010,1,21,12,1014.8,1016.0,23.4,20.4,18.7,075,00,000,0.0,006
43057,2010,1,22,12,1014.0,1015.2,22.0,20.4,19.5,086,00,000,0.0,008
43057,2010,1,23,12,1013.5,1014.7,21.8,20.8,20.3,091,02,002,0.0,008
43057,2010,1,24,12,1012.6,1013.8,22.4,21.2,20.6,089,07,002,0.0,006
